시도,시군구,구분,2012,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,
,,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,
,,부상자수,2468,1283,92,54,2,16,1119,959,513,446,,,215,215,4,4,7,7,2295,1151,65,28,1,10,1047,919,571,348,,,209,209,13,13,3,3,1939,1037,60,13,10,6,948,773,465,308,,,115,115,12,12,2,2,1905,960,52,23,1,8,876,889,491,398,,,47,47,7,7,2,2,1760,786,33,21,,9,723,836,405,431,,,129,129,7,7,2,2
,,중상자수,566,306,34,13,1,4,254,206,118,88,,,52,52,1,1,1,1,527,289,36,5,1,1,246,196,131,65,,,37,37,5,5,0,0,496,254,31,5,1,0,217,207,134,73,,,27,27,8,8,0,0,411,204,16,7,0,1,180,196,109,87,,,11,11,0,0,0,0,372,167,17,4,,1,145,174,89,85,,,29,29,1,1,1,1
,,경상자수,1773,905,52,39,1,12,801,704,361,343,,,155,155,3,3,6,6,1666,803,26,22,0,9,746,691,418,273,,,162,162,8,8,2,2,1353,732,27,7,9,6,683,529,314,215,,,86,86,4,4,2,2,1376,683,35,15,1,6,626,649,358,291,,,35,35,7,7,2,2,1288,571,16,17,,8,530,618,290,328,,,92,92,6,6,1,1
,,부상신고자수,129,72,6,2,0,0,64,49,34,15,,,8,8,0,0,0,0,102,59,3,1,0,0,55,32,22,10,,,10,10,0,0,1,1,90,51,2,1,0,0,48,37,17,20,,,2,2,0,0,0,0,118,73,1,1,0,1,70,44,24,20,,,1,1,0,0,0,0,100,48,0,0,,0,48,44,26,18,,,8,8,0,0,0,0
,부평구,발생건수,1895,1082,82,34,3,22,941,754,436,318,,,47,47,5,5,7,7,1528,891,85,30,2,10,764,585,331,254,,,42,42,8,8,2,2,1550,811,48,32,,8,723,675,369,306,,,51,51,11,11,2,2,1447,731,56,22,,17,636,680,376,304,,,28,28,4,4,4,4,1474,805,60,14,1,21,709,631,336,295,,,32,32,5,5,1,1
,,사망자수,23,11,2,0,0,1,8,10,5,5,,,0,0,2,2,0,0,20,15,2,1,0,0,12,5,2,3,,,0,0,0,0,0,0,11,7,0,0,,0,7,3,2,1,,,0,0,1,1,0,0,17,11,4,0,,0,7,6,3,3,,,0,0,0,0,0,0,12,6,1,0,0,0,5,6,3,3,,,0,0,0,0,0,0
,,부상자수,2807,1550,92,54,5,41,1358,1171,670,501,,,59,59,8,8,19,19,2231,1224,87,47,6,21,1063,936,511,425,,,50,50,15,15,6,6,2266,1185,51,41,,17,1076,989,548,441,,,60,60,29,29,3,3,2120,1047,58,33,,26,930,1028,587,441,,,32,32,8,8,5,5,2127,1126,65,25,1,33,1002,952,517,435,,,41,41,5,5,3,3
,,중상자수,842,498,55,22,2,9,410,318,203,115,,,20,20,2,2,4,4,650,389,52,14,1,7,315,236,142,94,,,20,20,5,5,0,0,642,339,26,14,,4,295,273,161,112,,,22,22,6,6,2,2,607,288,27,14,,7,240,302,193,109,,,11,11,4,4,2,2,530,286,36,10,1,8,231,236,137,99,,,8,8,0,0,0,0
,,경상자수,1864,998,33,32,3,30,900,809,434,375,,,37,37,5,5,15,15,1469,773,34,33,5,12,689,656,345,311,,,29,29,5,5,6,6,1509,788,24,25,,12,727,660,356,304,,,37,37,23,23,1,1,1424,701,27,17,,17,640,695,374,321,,,21,21,4,4,3,3,1523,801,29,15,0,24,733,682,357,325,,,32,32,5,5,3,3
,,부상신고자수,101,54,4,0,0,2,48,44,33,11,,,2,2,1,1,0,0,112,62,1,0,0,2,59,44,24,20,,,1,1,5,5,0,0,115,58,1,2,,1,54,56,31,25,,,1,1,0,0,0,0,89,58,4,2,,2,50,31,20,11,,,0,0,0,0,0,0,74,39,0,0,0,1,38,34,23,11,,,1,1,0,0,0,0
,남동구,발생건수,2140,1074,60,18,,16,980,980,516,464,,,71,71,7,7,8,8,1890,991,58,13,,9,911,818,468,350,,,59,59,19,19,3,3,1994,1096,69,18,4,2,1003,848,537,311,,,35,35,10,10,5,5,1979,1181,74,13,6,9,1079,789,509,280,,,1,1,4,4,4,4,1926,1110,110,14,3,8,975,735,496,239,,,70,70,6,6,5,5
,,사망자수,35,26,1,0,,0,25,8,3,5,,,1,1,0,0,0,0,26,16,0,1,,0,15,9,6,3,,,1,1,0,0,0,0,27,17,1,0,0,1,15,9,3,6,,,0,0,0,0,1,1,19,11,0,0,0,0,11,8,5,3,,,0,0,0,0,0,0,25,14,4,0,0,1,9,10,7,3,,,0,0,0,0,1,1
,,부상자수,3261,1587,60,23,,32,1472,1555,851,704,,,95,95,11,11,13,13,2852,1438,62,16,,29,1331,1298,734,564,,,80,80,31,31,5,5,3043,1650,75,25,5,12,1533,1323,845,478,,,38,38,21,21,11,11,2993,1747,78,13,8,20,1628,1230,822,408,,,1,1,5,5,10,10,2860,1642,115,19,5,15,1488,1112,757,355,,,90,90,8,8,8,8
,,중상자수,937,451,35,8,,7,401,455,264,191,,,27,27,2,2,2,2,764,364,30,4,,4,326,372,236,136,,,20,20,6,6,2,2,800,426,34,6,1,2,383,358,253,105,,,8,8,4,4,4,4,717,402,39,4,3,3,353,307,214,93,,,1,1,4,4,3,3,652,369,60,3,1,5,300,266,197,69,,,12,12,0,0,5,5
,,경상자수,2168,1067,23,13,,24,1007,1019,549,470,,,62,62,9,9,11,11,1963,1011,32,10,,23,946,868,467,401,,,58,58,23,23,3,3,2116,1137,36,18,3,9,1071,931,572,359,,,26,26,15,15,7,7,2168,1278,36,6,5,17,1214,883,581,302,,,0,0,0,0,7,7,2121,1215,53,16,4,10,1132,817,544,273,,,78,78,8,8,3,3
,,부상신고자수,156,69,2,2,,1,64,81,38,43,,,6,6,0,0,0,0,125,63,0,2,,2,59,58,31,27,,,2,2,2,2,0,0,127,87,5,1,1,1,79,34,20,14,,,4,4,2,2,0,0,108,67,3,3,0,0,61,40,27,13,,,0,0,1,1,0,0,87,58,2,0,0,0,56,29,16,13,,,0,0,0,0,0,0
,서구,발생건수,1516,752,58,18,1,21,654,612,320,292,,,140,140,11,11,1,1,1484,876,44,13,1,7,811,527,303,224,,,62,62,17,17,2,2,1426,853,73,18,1,3,758,532,346,186,,,28,28,13,13,,,1404,779,48,28,3,10,690,598,356,242,,,11,11,9,9,7,7,1472,758,46,15,5,12,680,693,431,262,,,15,15,6,6,,
,,사망자수,31,14,1,4,0,1,8,11,5,6,,,6,6,0,0,0,0,29,17,0,0,0,1,16,12,4,8,,,0,0,0,0,0,0,26,17,1,0,0,0,16,9,7,2,,,0,0,0,0,,,26,19,2,2,0,1,14,7,4,3,,,0,0,0,0,0,0,28,18,1,0,0,0,17,9,4,5,,,0,0,1,1,,
,,부상자수,2334,1138,67,29,3,43,996,979,527,452,,,188,188,26,26,3,3,2258,1260,49,21,2,8,1180,887,511,376,,,84,84,25,25,2,2,2088,1228,75,19,2,14,1118,801,516,285,,,30,30,29,29,,,2214,1246,50,29,3,58,1106,916,567,349,,,16,16,23,23,13,13,2181,1062,49,21,13,21,958,1092,683,409,,,15,15,12,12,,
,,중상자수,603,293,26,5,1,10,251,250,146,104,,,50,50,9,9,1,1,592,332,30,7,1,6,288,229,138,91,,,22,22,8,8,1,1,553,309,33,9,2,5,260,231,159,72,,,6,6,7,7,,,556,308,17,12,1,16,262,227,146,81,,,5,5,13,13,3,3,535,265,20,7,1,6,231,268,176,92,,,2,2,0,0,,
,,경상자수,1658,815,38,22,2,33,720,693,361,332,,,131,131,17,17,2,2,1563,885,19,14,0,0,852,603,347,256,,,59,59,15,15,1,1,1427,854,33,10,0,8,803,532,332,200,,,21,21,20,20,,,1542,868,27,16,1,40,784,647,395,252,,,10,10,7,7,10,10,1563,748,29,14,12,15,678,790,486,304,,,13,13,12,12,,
,,부상신고자수,73,30,3,2,0,0,25,36,20,16,,,7,7,0,0,0,0,103,43,0,0,1,2,40,55,26,29,,,3,3,2,2,0,0,108,65,9,0,0,1,55,38,25,13,,,3,3,2,2,,,116,70,6,1,1,2,60,42,26,16,,,1,1,3,3,0,0,83,49,0,0,0,0,49,34,21,13,,,0,0,0,0,,
,연수구,발생건수,716,358,40,8,3,6,301,320,179,141,,,32,32,3,3,3,3,769,372,25,3,1,7,336,365,231,134,,,27,27,5,5,,,678,296,30,4,1,5,256,361,213,148,,,18,18,3,3,,,706,346,29,4,3,6,304,346,215,131,,,8,8,2,2,4,4,682,336,19,8,,6,303,330,201,129,,,11,11,4,4,1,1
,,사망자수,19,10,0,1,0,0,9,8,7,1,,,0,0,0,0,1,1,21,12,0,0,0,1,11,9,5,4,,,0,0,0,0,,,16,9,0,0,0,0,9,7,4,3,,,0,0,0,0,,,15,12,2,0,1,2,7,3,3,0,,,0,0,0,0,0,0,16,9,0,0,,1,8,5,3,2,,,0,0,2,2,0,0
,,부상자수,1122,549,42,10,5,11,481,523,292,231,,,38,38,8,8,4,4,1200,552,29,6,1,16,500,586,362,224,,,55,55,7,7,,,1047,493,31,5,1,24,432,529,317,212,,,19,19,6,6,,,1073,493,29,4,4,6,450,561,329,232,,,8,8,4,4,7,7,975,460,19,9,,15,417,493,306,187,,,14,14,6,6,2,2
,,중상자수,368,207,27,9,1,6,164,144,80,64,,,12,12,4,4,1,1,385,184,13,2,0,7,162,181,122,59,,,20,20,0,0,,,336,159,18,3,0,4,134,168,97,71,,,8,8,1,1,,,332,154,18,2,1,0,133,172,124,48,,,3,3,2,2,1,1,341,146,13,5,,1,127,186,120,66,,,7,7,2,2,0,0
,,경상자수,732,331,14,1,4,5,307,368,205,163,,,26,26,4,4,3,3,784,356,14,4,1,9,328,387,232,155,,,35,35,6,6,,,696,328,11,2,1,20,294,352,216,136,,,11,11,5,5,,,718,330,11,2,3,6,308,376,196,180,,,5,5,2,2,5,5,605,301,6,4,,13,278,291,179,112,,,7,7,4,4,2,2
,,부상신고자수,22,11,1,0,0,0,10,11,7,4,,,0,0,0,0,0,0,31,12,2,0,0,0,10,18,8,10,,,0,0,1,1,,,15,6,2,0,0,0,4,9,4,5,,,0,0,0,0,,,23,9,0,0,0,0,9,13,9,4,,,0,0,0,0,1,1,29,13,0,0,,1,12,16,7,9,,,0,0,0,0,0,0
,계양구,발생건수,907,480,40,25,2,10,403,401,220,181,,,22,22,2,2,2,2,895,444,48,10,3,1,382,403,266,137,,,37,37,9,9,2,2,987,468,46,13,,3,406,490,314,176,,,18,18,9,9,2,2,969,495,33,24,,10,428,459,322,137,,,10,10,1,1,4,4,947,466,19,31,,10,406,457,281,176,,,21,21,,,3,3
,,사망자수,17,12,1,1,0,1,9,5,2,3,,,0,0,0,0,0,0,5,4,1,0,0,0,3,1,0,1,,,0,0,0,0,0,0,13,6,1,0,,0,5,6,4,2,,,0,0,1,1,0,0,18,9,0,0,,1,8,9,7,2,,,0,0,0,0,0,0,9,5,0,0,,0,5,3,2,1,,,1,1,,,0,0
,,부상자수,1273,647,45,31,2,10,559,596,337,259,,,26,26,2,2,2,2,1323,638,50,11,7,1,569,613,391,222,,,51,51,17,17,4,4,1531,709,47,18,,7,637,783,504,279,,,22,22,14,14,3,3,1402,747,41,29,,15,662,638,460,178,,,10,10,1,1,6,6,1374,658,27,35,,15,581,684,431,253,,,28,28,,,4,4
,,중상자수,473,216,27,7,1,5,176,243,146,97,,,12,12,1,1,1,1,449,207,23,3,3,1,177,227,152,75,,,12,12,2,2,1,1,522,247,30,12,,2,203,259,172,87,,,10,10,5,5,1,1,445,221,17,13,,4,187,222,168,54,,,2,2,0,0,0,0,377,181,11,15,,2,153,194,136,58,,,2,2,,,0,0
,,경상자수,775,413,18,21,1,5,368,346,188,158,,,14,14,1,1,1,1,847,417,27,8,4,0,378,375,230,145,,,38,38,14,14,3,3,939,427,14,6,,5,402,489,310,179,,,12,12,9,9,2,2,909,505,24,16,,10,455,390,272,118,,,7,7,1,1,6,6,906,435,14,20,,10,391,442,263,179,,,25,25,,,4,4
,,부상신고자수,25,18,0,3,0,0,15,7,3,4,,,0,0,0,0,0,0,27,14,0,0,0,0,14,11,9,2,,,1,1,1,1,0,0,70,35,3,0,,0,32,35,22,13,,,0,0,0,0,0,0,48,21,0,0,,1,20,26,20,6,,,1,1,0,0,0,0,91,42,2,0,,3,37,48,32,16,,,1,1,,,0,0
,강화군,발생건수,193,134,3,3,,,128,53,36,17,,,6,6,,,,,193,108,,,,,108,80,53,27,,,5,5,,,,,228,151,2,4,,2,143,66,47,19,,,11,11,,,,,239,146,4,,,1,141,88,76,12,,,5,5,,,,,210,148,,2,,,146,57,50,7,,,5,5,,,,
,,사망자수,15,14,0,0,,,14,1,1,0,,,0,0,,,,,13,9,,,,,9,4,1,3,,,0,0,,,,,16,13,2,0,,0,11,3,3,0,,,0,0,,,,,4,4,0,,,0,4,0,0,0,,,0,0,,,,,15,13,,0,,,13,2,2,0,,,0,0,,,,
,,부상자수,294,195,3,3,,,189,89,64,25,,,10,10,,,,,264,141,,,,,141,116,76,40,,,7,7,,,,,365,245,0,8,,5,232,108,75,33,,,12,12,,,,,370,210,4,,,1,205,151,130,21,,,9,9,,,,,324,235,,3,,,232,82,73,9,,,7,7,,,,
,,중상자수,130,92,0,3,,,89,35,29,6,,,3,3,,,,,136,78,,,,,78,55,36,19,,,3,3,,,,,143,94,0,0,,2,92,41,29,12,,,8,8,,,,,177,109,3,,,1,105,66,57,9,,,2,2,,,,,121,87,,2,,,85,29,27,2,,,5,5,,,,
,,경상자수,149,95,3,0,,,92,47,30,17,,,7,7,,,,,115,55,,,,,55,57,40,17,,,3,3,,,,,198,131,0,7,,3,121,63,43,20,,,4,4,,,,,183,95,1,,,0,94,82,70,12,,,6,6,,,,,192,139,,1,,,138,51,45,6,,,2,2,,,,
,,부상신고자수,15,8,0,0,,,8,7,5,2,,,0,0,,,,,13,8,,,,,8,4,0,4,,,1,1,,,,,24,20,0,1,,0,19,4,3,1,,,0,0,,,,,10,6,0,,,0,6,3,3,0,,,1,1,,,,,11,9,,0,,,9,2,1,1,,,0,0,,,,
,옹진군,발생건수,55,40,,1,,2,37,10,7,3,,,3,3,2,2,,,63,43,,,,4,39,15,4,11,,,5,5,,,,,21,14,,,,2,12,6,3,3,,,1,1,,,,,42,29,1,,,2,26,13,7,6,,,,,,,,,39,33,,1,,,32,6,4,2,,,,,,,,
,,사망자수,5,4,,0,,0,4,1,0,1,,,0,0,0,0,,,6,4,,,,1,3,1,0,1,,,1,1,,,,,0,0,,,,0,0,0,0,0,,,0,0,,,,,3,2,1,,,0,1,1,1,0,,,,,,,,,7,7,,1,,,6,0,0,0,,,,,,,,
,,부상자수,94,67,,1,,10,56,22,18,4,,,3,3,2,2,,,99,57,,,,4,53,37,17,20,,,5,5,,,,,37,22,,,,4,18,14,4,10,,,1,1,,,,,65,43,0,,,3,40,22,11,11,,,,,,,,,59,40,,0,,,40,19,17,2,,,,,,,,
,,중상자수,26,16,,1,,4,11,9,9,0,,,0,0,1,1,,,26,15,,,,1,14,11,2,9,,,0,0,,,,,12,10,,,,2,8,2,0,2,,,0,0,,,,,20,18,0,,,1,17,2,2,0,,,,,,,,,19,16,,0,,,16,3,3,0,,,,,,,,
,,경상자수,68,51,,0,,6,45,13,9,4,,,3,3,1,1,,,71,40,,,,3,37,26,15,11,,,5,5,,,,,23,12,,,,2,10,10,4,6,,,1,1,,,,,42,23,0,,,2,21,19,8,11,,,,,,,,,35,20,,0,,,20,15,14,1,,,,,,,,
,,부상신고자수,0,0,,0,,0,0,0,0,0,,,0,0,0,0,,,2,2,,,,0,2,0,0,0,,,0,0,,,,,2,0,,,,0,0,2,0,2,,,0,0,,,,,3,2,0,,,0,2,1,1,0,,,,,,,,,5,4,,0,,,4,1,0,1,,,,,,,,
광주,합계,발생건수,8600,4438,277,79,9,42,4031,3861,2362,1499,1,1,263,263,28,28,9,9,8036,4059,234,42,12,47,3724,3640,2263,1377,,,303,303,24,24,10,10,8194,4198,206,50,5,38,3899,3773,2340,1433,,,194,194,24,24,5,5,7864,3914,164,37,10,40,3663,3742,2311,1431,,,179,179,26,26,3,3,7354,3792,185,36,8,29,3534,3443,2154,1289,,,98,98,18,18,3,3
,,사망자수,114,74,9,1,1,2,61,33,15,18,0,0,5,5,2,2,0,0,111,71,11,1,1,0,58,35,16,19,,,5,5,0,0,0,0,101,55,4,0,0,0,51,45,28,17,,,1,1,0,0,0,0,97,68,8,2,0,1,57,28,22,6,,,1,1,0,0,0,0,85,53,4,0,1,1,47,25,15,10,,,4,4,3,3,0,0
,,부상자수,13886,6811,296,107,14,92,6302,6643,4147,2496,3,3,371,371,41,41,17,17,13089,6253,243,55,23,101,5831,6344,3984,2360,,,431,431,49,49,12,12,13289,6486,224,62,7,79,6114,6485,4073,2412,,,250,250,57,57,11,11,12596,6025,175,47,18,81,5704,6280,3986,2294,,,241,241,46,46,4,4,11966,5858,195,50,14,70,5529,5953,3865,2088,,,109,109,38,38,8,8
,,중상자수,1730,930,94,25,4,16,791,736,499,237,2,2,54,54,4,4,4,4,1761,898,101,7,3,7,780,788,536,252,,,63,63,10,10,2,2,1765,890,78,16,1,18,777,822,549,273,,,40,40,12,12,1,1,1612,789,73,8,2,14,692,775,523,252,,,38,38,8,8,2,2,1571,788,71,11,2,7,697,759,521,238,,,17,17,6,6,1,1
,,경상자수,11682,5630,191,82,10,74,5273,5698,3508,2190,1,1,307,307,33,33,13,13,10920,5148,133,47,19,87,4862,5363,3315,2048,,,360,360,39,39,10,10,11158,5419,137,45,6,56,5175,5490,3414,2076,,,197,197,43,43,9,9,10627,5066,100,34,14,66,4852,5325,3342,1983,,,197,197,37,37,2,2,9995,4849,120,35,10,60,4624,5023,3231,1792,,,85,85,31,31,7,7
,,부상신고자수,474,251,11,0,0,2,238,209,140,69,0,0,10,10,4,4,0,0,408,207,9,1,1,7,189,193,133,60,,,8,8,0,0,0,0,366,177,9,1,0,5,162,173,110,63,,,13,13,2,2,1,1,357,170,2,5,2,1,160,180,121,59,,,6,6,1,1,0,0,400,221,4,4,2,3,208,171,113,58,,,7,7,1,1,0,0
,동구,발생건수,771,442,20,13,2,3,404,313,211,102,,,12,12,4,4,,,662,304,18,3,6,1,276,301,183,118,,,55,55,2,2,,,707,349,16,6,3,4,320,306,215,91,,,51,51,1,1,,,672,351,17,8,2,3,321,243,196,47,,,77,77,1,1,,,474,247,13,8,4,1,221,194,143,51,,,33,33,,,,
,,사망자수,6,3,0,0,0,1,2,3,3,0,,,0,0,0,0,,,6,4,2,0,0,0,2,1,1,0,,,1,1,0,0,,,7,5,0,0,0,0,5,2,2,0,,,0,0,0,0,,,7,2,1,0,0,0,1,4,3,1,,,1,1,0,0,,,8,2,0,0,0,0,2,4,3,1,,,2,2,,,,
,,부상자수,1144,631,20,19,2,11,579,492,343,149,,,13,13,8,8,,,1029,441,20,3,11,1,406,501,315,186,,,80,80,7,7,,,1175,552,19,7,3,9,514,549,378,171,,,73,73,1,1,,,1043,523,17,12,3,4,487,412,333,79,,,107,107,1,1,,,750,365,13,10,7,2,333,343,255,88,,,42,42,,,,
,,중상자수,153,92,9,4,2,3,74,58,39,19,,,3,3,0,0,,,155,72,9,0,2,1,60,73,46,27,,,10,10,0,0,,,179,91,4,1,1,4,81,80,59,21,,,8,8,0,0,,,142,71,8,2,0,3,58,58,47,11,,,13,13,0,0,,,132,60,5,2,2,0,51,64,50,14,,,8,8,,,,
,,경상자수,961,521,11,15,0,8,487,423,295,128,,,9,9,8,8,,,855,363,11,3,8,0,341,415,258,157,,,70,70,7,7,,,957,438,13,6,2,5,412,453,307,146,,,65,65,1,1,,,867,436,9,10,3,1,413,337,270,67,,,93,93,1,1,,,592,289,8,7,3,2,269,269,197,72,,,34,34,,,,
,,부상신고자수,30,18,0,0,0,0,18,11,9,2,,,1,1,0,0,,,19,6,0,0,1,0,5,13,11,2,,,0,0,0,0,,,39,23,2,0,0,0,21,16,12,4,,,0,0,0,0,,,34,16,0,0,0,0,16,17,16,1,,,1,1,0,0,,,26,16,0,1,2,0,13,10,8,2,,,0,0,,,,
,서구,발생건수,2205,1045,69,18,1,4,953,1017,581,436,,,139,139,2,2,2,2,2019,1005,54,10,2,6,933,941,559,382,,,70,70,1,1,2,2,2052,1045,55,7,,3,980,963,552,411,,,39,39,3,3,2,2,2099,1007,33,5,,5,964,1064,594,470,,,25,25,2,2,1,1,1924,936,38,6,1,2,889,979,551,428,,,7,7,1,1,1,1
,,사망자수,20,14,2,0,0,0,12,4,2,2,,,2,2,0,0,0,0,27,19,5,0,0,0,14,8,5,3,,,0,0,0,0,0,0,21,13,2,0,,0,11,8,5,3,,,0,0,0,0,0,0,23,17,2,0,,0,15,6,3,3,,,0,0,0,0,0,0,18,14,3,0,0,0,11,4,4,0,,,0,0,0,0,0,0
,,부상자수,3646,1627,73,23,1,5,1525,1806,1041,765,,,205,205,5,5,3,3,3292,1532,53,16,3,7,1453,1658,988,670,,,97,97,3,3,2,2,3355,1600,63,7,,6,1524,1698,961,737,,,52,52,3,3,2,2,3376,1482,35,5,,8,1434,1856,1052,804,,,32,32,5,5,1,1,3255,1515,38,6,1,8,1462,1728,1018,710,,,7,7,2,2,3,3
,,중상자수,368,178,24,8,1,1,144,169,120,49,,,20,20,0,0,1,1,358,188,18,2,0,0,168,154,94,60,,,16,16,0,0,0,0,384,195,27,3,,0,165,176,107,69,,,12,12,0,0,1,1,424,178,17,1,,1,159,240,161,79,,,5,5,0,0,1,1,365,165,13,3,0,0,149,199,125,74,,,1,1,0,0,0,0
,,경상자수,3198,1411,47,15,0,4,1345,1601,900,701,,,181,181,3,3,2,2,2856,1304,32,13,3,6,1250,1470,871,599,,,77,77,3,3,2,2,2925,1385,35,4,,6,1340,1497,837,660,,,40,40,3,3,0,0,2890,1273,18,2,,7,1246,1585,875,710,,,27,27,5,5,0,0,2793,1307,24,3,1,8,1271,1475,856,619,,,6,6,2,2,3,3
,,부상신고자수,80,38,2,0,0,0,36,36,21,15,,,4,4,2,2,0,0,78,40,3,1,0,1,35,34,23,11,,,4,4,0,0,0,0,46,20,1,0,,0,19,25,17,8,,,0,0,0,0,1,1,62,31,0,2,,0,29,31,16,15,,,0,0,0,0,0,0,97,43,1,0,0,0,42,54,37,17,,,0,0,0,0,0,0
,북구,발생건수,2469,1345,74,17,1,13,1240,1064,661,403,,,51,51,8,8,1,1,2412,1315,81,16,,20,1198,1020,668,352,,,65,65,10,10,2,2,2392,1360,61,21,,12,1266,990,663,327,,,30,30,12,12,,,2171,1137,60,9,,14,1054,998,636,362,,,25,25,11,11,,,2178,1183,58,9,,10,1106,966,633,333,,,20,20,8,8,1,1
,,사망자수,35,26,5,1,0,0,20,9,5,4,,,0,0,0,0,0,0,28,18,1,1,,0,16,8,1,7,,,2,2,0,0,0,0,34,21,2,0,,0,19,13,7,6,,,0,0,0,0,,,30,25,4,0,,0,21,5,3,2,,,0,0,0,0,,,18,13,1,0,,0,12,5,3,2,,,0,0,0,0,0,0
,,부상자수,3935,2060,78,20,1,32,1929,1788,1123,665,,,74,74,12,12,1,1,3914,2027,86,22,,40,1879,1778,1163,615,,,85,85,22,22,2,2,3806,2059,65,31,,23,1940,1674,1163,511,,,43,43,30,30,,,3475,1757,64,9,,21,1663,1667,1111,556,,,32,32,19,19,,,3490,1779,58,14,,21,1686,1668,1149,519,,,21,21,19,19,3,3
,,중상자수,538,306,22,6,0,6,272,211,149,62,,,18,18,3,3,0,0,534,296,37,3,,2,254,219,164,55,,,17,17,2,2,0,0,495,278,22,9,,7,240,204,143,61,,,6,6,7,7,,,467,273,31,2,,4,236,187,115,72,,,4,4,3,3,,,453,239,17,2,,4,216,208,148,60,,,0,0,5,5,1,1
,,경상자수,3218,1643,51,14,1,25,1552,1510,932,578,,,55,55,9,9,1,1,3233,1661,48,19,,36,1558,1483,951,532,,,67,67,20,20,2,2,3216,1730,41,22,,15,1652,1433,999,434,,,32,32,21,21,,,2922,1450,32,5,,17,1396,1431,965,466,,,26,26,15,15,,,2921,1468,40,12,,16,1400,1419,974,445,,,18,18,14,14,2,2
,,부상신고자수,179,111,5,0,0,1,105,67,42,25,,,1,1,0,0,0,0,147,70,1,0,,2,67,76,48,28,,,1,1,0,0,0,0,95,51,2,0,,1,48,37,21,16,,,5,5,2,2,,,86,34,1,2,,0,31,49,31,18,,,2,2,1,1,,,116,72,1,0,,1,70,41,27,14,,,3,3,0,0,0,0
,광산구,발생건수,2248,1065,65,16,4,19,961,1125,677,448,1,1,42,42,9,9,6,6,2087,1001,45,6,3,19,928,1022,625,397,,,56,56,3,3,5,5,2080,934,31,12,1,14,876,1098,651,447,,,41,41,4,4,3,3,2000,921,25,6,4,14,872,1055,649,406,,,20,20,2,2,2,2,1959,1001,48,8,,14,931,941,595,346,,,14,14,2,2,1,1
,,사망자수,31,18,1,0,1,1,15,10,2,8,0,0,2,2,1,1,0,0,33,24,2,0,1,0,21,9,6,3,,,0,0,0,0,0,0,24,12,0,0,0,0,12,12,7,5,,,0,0,0,0,0,0,27,16,0,0,0,0,16,11,11,0,,,0,0,0,0,0,0,31,19,0,0,,1,18,9,4,5,,,2,2,1,1,0,0
,,부상자수,3724,1701,72,23,9,39,1558,1941,1209,732,3,3,55,55,11,11,13,13,3468,1571,48,7,3,49,1464,1812,1115,697,,,75,75,3,3,7,7,3455,1499,33,13,2,29,1422,1887,1133,754,,,43,43,17,17,9,9,3277,1523,29,11,9,42,1432,1721,1088,633,,,26,26,4,4,3,3,3223,1576,54,14,,36,1472,1628,1055,573,,,13,13,4,4,2,2
,,중상자수,468,224,20,2,1,6,195,226,152,74,2,2,12,12,1,1,3,3,487,231,18,1,0,4,208,245,161,84,,,9,9,0,0,2,2,467,203,11,3,0,7,182,252,168,84,,,8,8,4,4,0,0,389,175,8,0,0,6,161,205,148,57,,,7,7,1,1,1,1,450,224,20,1,,2,201,223,161,62,,,3,3,0,0,0,0
,,경상자수,3130,1422,49,21,8,32,1312,1647,1008,639,1,1,41,41,9,9,10,10,2868,1282,26,6,3,41,1206,1514,914,600,,,64,64,3,3,5,5,2866,1248,21,9,2,19,1197,1566,925,641,,,30,30,13,13,9,9,2788,1300,21,10,7,35,1227,1467,903,564,,,16,16,3,3,2,2,2664,1291,33,10,,33,1215,1359,863,496,,,8,8,4,4,2,2
,,부상신고자수,126,55,3,0,0,1,51,68,49,19,0,0,2,2,1,1,0,0,113,58,4,0,0,4,50,53,40,13,,,2,2,0,0,0,0,122,48,1,1,0,3,43,69,40,29,,,5,5,0,0,0,0,100,48,0,1,2,1,44,49,37,12,,,3,3,0,0,0,0,109,61,1,3,,1,56,46,31,15,,,2,2,0,0,0,0
,남구,발생건수,907,541,49,15,1,3,473,342,232,110,,,19,19,5,5,,,856,434,36,7,1,1,389,356,228,128,,,57,57,8,8,1,1,963,510,43,4,1,5,457,416,259,157,,,33,33,4,4,,,922,498,29,9,4,4,452,382,236,146,,,32,32,10,10,,,819,425,28,5,3,2,387,363,232,131,,,24,24,7,7,,
,,사망자수,22,13,1,0,0,0,12,7,3,4,,,1,1,1,1,,,17,6,1,0,0,0,5,9,3,6,,,2,2,0,0,0,0,15,4,0,0,0,0,4,10,7,3,,,1,1,0,0,,,10,8,1,2,0,1,4,2,2,0,,,0,0,0,0,,,10,5,0,0,1,0,4,3,1,2,,,0,0,2,2,,
